Jogador	Golos	Assistências	Duelos ganhos, %	Ações defensivas com êxito/90	Passes certos, %
Vinícius Júnior	20	21	43,34	3,81	76,48
Rodrygo	19	8	46,66	3,78	87,9
Gabriel Jesus	11	2	34,58	5,48	82,16
Neymar	8	10	41,74	2,34	83,18
Richarlison	6	4	34,66	4,17	71,43
João Pedro	11	3	41,6	4,66	77,78
Matheus Cunha	4	3	39,79	5,96	75,8
Roberto Firmino	7	3	39,47	5	85,27
Pedro	32	4	32,05	3,02	78,57
Gabriel Barbosa	20	3	35,86	1,28	83,68
Vitor Roque	20	6	33,92	2,97	78,51
Yuri Alberto	15	7	32,35	3,08	77,2
Talles Magno	4	1	41,29	4,02	83,31
Marcos Leonardo	21	2	36,04	2,22	72,24
Felipe Anderson	9	6	46,48	7,78	79,14
Arthur Cabral	15	0	28,14	2,9	77,06
Philippe Coutinho	5	2	46,59	4,37	81,91
Talisca	33	2	44,28	3,44	80,43
Rony	14	3	35,61	3,24	66,54
Gabriel Veron	0	3	42,24	6,98	76,4
Gustavo Scarpa	0	0	49,23	6,67	74,62
Evander	11	4	44,98	4,67	82,81
Rodrigo	11	5	36,3	3,68	75,59
Lucas Moura	4	0	47,7	4,38	76,76
Róger Guedes	26	3	45,2	2,6	80,12
Brenner	1	0	49,38	3,43	85,32
Paulinho	28	5	40,24	3,79	83,7
Matheus Nascimento	3	1	35,92	3,07	74,23
Willian José	12	2	36,04	2,64	79,27
João Pedro	3	0	35	3,7	79,47
Pedro Raul	13	4	35,22	3,25	73,33
João Pedro	14	2	37,7	2,98	82,28
Carlos Júnior	7	2	41,21	6,06	79,96
Carlos Vinícius	7	3	27,04	2,65	76,84
Alan Patrick	15	5	41,23	3,89	83,97
Matheus França	3	1	43,64	6,82	75,06
Thiago Andrade	1	0	34,56	3,81	85,71
Caio Lucas	15	2	39,25	3,32	80,68
Danilo	11	3	33,43	4,24	80,39
M. Brunori	15	2	34,94	2,42	67,41
Marcão	12	0	42,21	3,71	65,27
Romarinho	18	9	39,05	3,7	87,63
John Kennedy	15	2	33,38	3,02	78,09
Rafael Navarro	5	1	36,4	5,02	75,92
Tiquinho Soares	28	4	38,98	2,75	75,91
Marcos Paulo	4	2	37,43	5,28	79,85
João Klauss	10	1	36,71	4,12	69,77
Alerrandro	9	3	28,87	2,81	78,4
Gabriel Pirani	3	1	41,2	4,33	84,39
Diego Costa	4	0	29,54	4,14	75,35
Erison	4	1	31,5	2,42	70,67
Ademir	3	3	49,84	5,58	73,45
Bissoli	3	1	31,86	3,01	73,81
Cryzan	27	8	44,49	5,68	77,6
Vitinho	3	2	41,03	5,6	77,25
Marcos André	2	2	30,53	2,76	64,18
Bruno Henrique	7	1	45,33	4,54	78,71
Luciano	12	4	45,4	3,77	86,54
D. Bessa	9	3	38,05	3,88	82,5
Alemão	4	0	32,83	3,61	73,4
Kenedy	2	1	38,11	4,38	77,65
Andre Shinyashiki	0	1	38,59	5,42	75,91
Davidson	10	6	41,86	5,95	80,42
Wesley	4	1	34,51	2,92	75,53
Rafael Elias	4	0	32,54	4,36	68,27
João Figueiredo	8	2	35,05	4,13	76,71
Hulk	28	11	36,96	2,78	73,66
Nikão	3	2	45,31	3,97	82,88
Igor Jesus	4	0	43,87	4,35	83,58
Renato Augusto	5	8	47,37	5,32	85,71
Alef Manga	13	5	40,65	3,64	75,59
Pedro Henrique	10	3	41,55	3,7	75,37
Breno Lopes	7	3	51,06	3	80,5
André Silva	9	4	32,14	3,98	75,44
Rodrigo Pinho	5	0	33,14	2,97	76,58
Héber	2	1	30,11	2,4	82,03
E. Marcondes	4	3	50,54	4,8	69,59
Sergio Santos	4	1	35,76	4,12	70,9
Eduardo Sasha	16	4	36,74	2,96	79,53
Léo Baptistão	5	0	44,52	6,73	70,24
Thiago Santana	13	1	34,89	3,78	79,25
Marcos Guilherme	1	3	39,5	3,19	88,54
Figueiredo	0	1	44,55	6,51	71,1
David	5	3	39,78	4,08	78,49
J. von Moos	3	5	42,57	5,39	76,17
Erik	20	10	35,98	4,77	76,89
Mateus	5	10	41,51	4,2	74,42
Perotti	3	0	25,93	3,96	72,95
Diego Lopes	13	12	41,9	3,37	84,85
Paulinho	5	3	46,12	4,99	86,16
Mikael	1	0	36,27	2,4	79,69
Elias Manoel	7	2	28,21	3,11	68,98
Alex Teixeira	4	5	44,38	3,71	86,82
Eduardo	12	6	41,5	3,47	84,48
Carlos Eduardo	4	0	44,59	7,11	72,85
Zé Roberto	13	4	37,62	3,13	72,93
Matheus Peixoto	7	4	35,77	3,15	76,16
Matheus Vargas	2	0	44,99	5,61	76,32
Anderson Silva	6	0	29,19	3,23	69,66
Serginho	8	3	54,93	6,02	79,48
Bruno Duarte	4	0	30,69	2,98	74,14
Thonny Anderson	3	4	38,18	6,05	70,55
Thiago Galhardo	16	6	38,74	3,54	73,31
Bruno Rodrigues	12	6	42,03	4,09	76,72
Júnior Brumado	2	0	34,54	4,34	78,11
Marco Antônio	2	0	52,91	4,97	82,43
Matheus Babi	8	1	35,6	4,95	74,48
Marcos Júnior	4	3	42,05	3,86	78,83
Leandro Damião	1	1	38,02	2,87	63,64
Anderson Lopes	25	6	29,2	3,04	81,83
Francisco da Costa	7	0	36,97	2,9	75,62
Vitor Bueno	10	7	43,62	3,37	81,23
Paulinho	2	0	48,41	6,11	86,17
Raniel	15	2	41,25	3,36	78,59
Arthur Caíke	3	0	34,98	4,37	78,67
Vinicius Mello	5	2	36,29	4,02	78,3
Gustavo	6	0	39,75	4,92	66,25
Camilo Sanvezzo	4	3	37,22	3,82	76,9
Luiz Phellype	5	0	32,17	2,27	87,79
Diogo de Oliveira	3	1	39,82	5,84	75,59
Douglas Tanque	16	4	34,36	3,97	73,02
Jairo	21	4	33,45	4,28	70,91
Vina	6	1	41,33	3,75	83,67
André Luis	0	1	37,91	3,81	77,88
Diego Oliveira	15	1	34,72	3,13	76,34
Gilberto	8	2	34,39	2,84	77,23
Edu	3	0	31,78	1,88	69,6
Cesinha	8	5	38,7	3,22	81,59
Leonardo	24	6	38,46	2,62	74,49
Léo Ceará	11	4	32,42	3,16	73,61
Flamarion	19	2	47,18	3,28	87,54
Léo Bonatini	11	1	33,76	3,08	78,24
Fábio Gomes	3	1	33,61	3,38	74,34
Robson	14	4	40,82	7,22	69,26
Deyverson	14	1	38,24	2,48	65,31
Juan	3	1	42,13	5	82,04
Pablo	16	4	33,9	4,24	82,14
Rildo	4	2	34,38	4,42	76,7
Dodô	4	3	41,35	4,25	78,18
Luiz Fernando	19	7	39,38	4,46	80,84
Dyego Sousa	4	0	38,31	3,55	78,05
Ivonei	0	0	46,97	3,62	88,39
Igor Thiago	23	5	35,12	4,13	71,14
Igor Torres	2	1	36,57	5,44	74,5
Ademilson	8	2	41,13	2,73	76,26
Caio Canedo	8	4	42,69	4,53	80,89
Régis	1	2	34,59	3,39	82,05
Fabinho	12	2	37,31	3,11	82,18
Léo Jabá	7	5	43,52	4,7	69,55
Edigar Junio	2	1	33,33	4,23	81
Guilherme Schettine	5	3	34,85	3,48	72,97
Adailton	5	5	37,37	5,5	65,74
Welinton Júnior	3	1	36,7	3,14	72,27
Bruno	7	2	45,06	5,77	70,93
Diego Farias	2	3	37,93	2,59	80,51
Gabriel Poveda	6	1	30,61	2,27	71,62
Luvannor	10	3	33,44	3,09	81,46
J. Tagueu	12	0	34,2	2,65	82,13
Everaldo	19	4	34,48	2	71,5
Ricardinho	13	3	27,24	2,78	69
Bruno Nazário	9	11	40,34	4,28	79,37
Jonathan Junior	12	1	35,64	3,23	74,65
Jorginho	13	6	47,81	4,65	79,03
Guilherme	7	3	47,15	5,59	72,78
Luan Dias	1	1	40,7	4,75	78,31
Leonardo Rocha	10	0	40,99	2,76	61,66
Tiago Alves	6	1	27,88	3,63	56,28
