Jogador Referência	Jogador Comparado	Resultado
Rodrygo	Gabriel Jesus	0.9894024872985692
Rodrygo	Neymar	1.0010722507805354
Rodrygo	Richarlison	0.9621131755220804
Rodrygo	João Pedro	0.9418449396196183
Rodrygo	Matheus Cunha	1.1172391947064622
Rodrygo	Malcom	0.7641182417794039
Rodrygo	Roberto Firmino	0.8882390799451548
Rodrygo	Pedro	0.8725878278080158
Rodrygo	Gabriel Barbosa	0.9744290275049117
Rodrygo	Vitor Roque	1.3157720207253885
Rodrygo	Yuri Alberto	1.1611310264101251
Rodrygo	Marcos Leonardo	1.0974243733794296
Rodrygo	Talles Magno	0.8578261809534105
Rodrygo	Felipe Anderson	0.9131522927334444
Rodrygo	Arthur Cabral	1.0081303395051926
Rodrygo	A. Conceição	0.9729953408533595
Rodrygo	Rony	1.193076749605352
Rodrygo	Gabriel Veron	0.9687786119758286
Rodrygo	Evander	0.9282936101769264
Rodrygo	Rodrigo	0.9334803705337451
Rodrygo	Róger Guedes	0.9580478676847856
Rodrygo	Brenner	0.8956575717389464
Rodrygo	Paulinho	1.023901683762338
Rodrygo	Matheus Nascimento	1.0984497197037857
Rodrygo	Willian José	0.8561141377636335
Rodrygo	João Pedro	1.0746859870670684
Rodrygo	João Pedro	0.8865769187800245
Rodrygo	Pedro Raul	0.9085002862049227
Rodrygo	C. Lucas	0.9755070682237247
Rodrygo	Thiago Andrade	0.6947776221327262
Rodrygo	Alan Patrick	1.0190369181380416
Rodrygo	Danilo	0.8345953620444864
Rodrygo	Matheus França	0.8286907714397599
Rodrygo	Lázaro	0.8949252889766
Rodrygo	Rodrigo Muniz	1.250118147448015
Rodrygo	Carlos Vinícius	1.0597249115310141
Rodrygo	M. Brunori	1.0260197814984808
Rodrygo	R. Ricardo	0.9210480501392758
Rodrygo	Marcão	1.0161662078238043
Rodrygo	Rafael Navarro	0.8786016773229262
Rodrygo	Tiquinho Soares	1.0715298406697271
Rodrygo	Alerrandro	0.920513861500986
Rodrygo	João Klauss	1.0239347117834912
Rodrygo	John Kennedy	0.9849509743080551
Rodrygo	Marcos Paulo	1.0117935804672806
Rodrygo	Bissoli	0.9487133506679817
Rodrygo	Erison	1.3408946901533392
Rodrygo	Diego Costa	0.9028156996587029
Rodrygo	Gabriel Pirani	1.1320209692949608
Rodrygo	Vitinho	0.9761970661500137
Rodrygo	Cryzan	0.9114741859530238
Rodrygo	Rafael Elias	1.031923539546829
Rodrygo	D. Bessa	0.957469912225138
Rodrygo	Alemão	1.1510679189179387
Rodrygo	Bernard	1.0416762379811635
Rodrygo	Luciano	0.9481749208435389
Rodrygo	Bruno Henrique	0.8962645057458284
Rodrygo	Kenedy	0.902276797134817
Rodrygo	Marcos André	1.457571861511617
Rodrygo	Reinier	1.110283315844701
Rodrygo	A. Shinyashiki	1.091800233885946
Rodrygo	Davidson	0.954303580554971
Rodrygo	Wesley	0.9631348989623155
Rodrygo	João Figueiredo	0.9744589409056025
Rodrygo	Marquinhos	0.9103501677707992
Rodrygo	Hulk	1.0200848383572207
Rodrygo	Nikão	0.8170025480657865
Rodrygo	Boschilia	1.1278780557134733
Rodrygo	Igor Jesus	0.7439707502285138
Rodrygo	Pedro Henrique	1.109701101206083
Rodrygo	Rodrigo Pinho	1.0034456597331984
Rodrygo	Marrony	0.7888419483101391
Rodrygo	Héber	1.0397995283018868
Rodrygo	Alef Manga	0.9787555500740011
Rodrygo	André Silva	1.1224143417842367
Rodrygo	E. Marcondes	0.9888168961435424
Rodrygo	Eduardo Sasha	0.9369797508707717
Rodrygo	Sergio Santos	0.9338923212709619
Rodrygo	Marcos Guilherme	0.8452628215369867
Rodrygo	Léo Baptistão	1.0156459973123442
Rodrygo	Thiago Santana	0.9858686874961178
Rodrygo	Mateus	1.1082675790796732
Rodrygo	J. von Moos	1.0005043023292461
Rodrygo	David	0.9145466593678871
Rodrygo	Lincoln	1.1768435101768433
Rodrygo	Erik	0.9388642413487134
Rodrygo	Perotti	0.8951524209695157
Rodrygo	Diego Lopes	0.8818479831092344
Rodrygo	Paulinho	0.8897079432703627
Rodrygo	Matheus Vargas	1.0413345143194566
Rodrygo	Thiago Galhardo	1.0858247246356982
Rodrygo	Alex Teixeira	0.822911805879608
Rodrygo	Eduardo	0.965390347008911
Rodrygo	Mikael	0.7859512726552441
Rodrygo	Matheus Peixoto	0.7456134169544076
Rodrygo	Elias Manoel	0.9783935396375293
Rodrygo	Carlos Eduardo	0.975896947151597
Rodrygo	Anderson Silva	1.0975382062098056
