Jogador Referência	Jogador Comparado	Resultado
Gabriel Barbosa	Willen Mota	1.6693000000000016
Gabriel Barbosa	Pablo	15.98740000000001
Gabriel Barbosa	Erick	17.016500000000015
Gabriel Barbosa	Eduardo Sasha	18.909650000000024
Gabriel Barbosa	Vitor Roque	21.174300000000002
Gabriel Barbosa	Sassá	21.52529999999999
Gabriel Barbosa	João Pedro	22.617800000000013
Gabriel Barbosa	Brenner	22.825850000000024
Gabriel Barbosa	Luiz Fernando	23.78420000000002
Gabriel Barbosa	Caio Lucas	25.326850000000004
Gabriel Barbosa	Léo Gamalho	29.15735
Gabriel Barbosa	William Lira	31.082400000000035
Gabriel Barbosa	Juninho	31.452450000000024
Gabriel Barbosa	Ytalo	32.13570000000001
Gabriel Barbosa	Alan Patrick	32.36654999999998
Gabriel Barbosa	John Kennedy	33.21305000000001
Gabriel Barbosa	Daniel Amorim	35.25745000000002
Gabriel Barbosa	Romarinho	35.817499999999946
Gabriel Barbosa	Fabinho	36.3507
Gabriel Barbosa	Thiago Bezerra	37.1322
Gabriel Barbosa	Cleiton Silva	37.765699999999995
Gabriel Barbosa	Gustavo Tocantins	38.008500000000026
Gabriel Barbosa	Felipe	38.604850000000084
Gabriel Barbosa	Thiago Santana	39.907900000000026
Gabriel Barbosa	J. Tagueu	40.01750000000001
Gabriel Barbosa	Diego Maurício	41.01959999999999
Gabriel Barbosa	Anderson Lopes	42.43785000000002
Gabriel Barbosa	Raniel	42.643300000000025
Gabriel Barbosa	Rodrigo Rodrigues	42.712200000000074
Gabriel Barbosa	Willian José	43.16505000000004
Gabriel Barbosa	Diego Oliveira	43.79885000000002
Gabriel Barbosa	Nicolas	44.51885000000002
Gabriel Barbosa	Paulinho	46.74245000000001
Gabriel Barbosa	Renan Oliveira	48.232500000000016
Gabriel Barbosa	Nick Firmino	48.540049999999965
Gabriel Barbosa	Yuri Alberto	49.275250000000014
Gabriel Barbosa	Marco Túlio	51.28905000000004
Gabriel Barbosa	Gabriel Jesus	51.79440000000002
Gabriel Barbosa	Anselmo Ramon	51.9299000000001
Gabriel Barbosa	Danilo	53.24530000000002
Gabriel Barbosa	Erik	53.64930000000004
Gabriel Barbosa	Jefferson	54.33645000000014
Gabriel Barbosa	Eduardo	55.12285
Gabriel Barbosa	Nilson	56.131250000000016
Gabriel Barbosa	Luvannor	57.03045000000003
Gabriel Barbosa	Vágner Love	57.198000000000036
Gabriel Barbosa	R. Ramires	57.61590000000001
Gabriel Barbosa	Magno Cruz	58.15
Gabriel Barbosa	Heberty	58.49505000000003
Gabriel Barbosa	Leonardo	59.005850000000116
Gabriel Barbosa	Éder	59.97270000000002
Gabriel Barbosa	André Luis	60.389300000000105
Gabriel Barbosa	Douglas Rosa	60.62975000000001
Gabriel Barbosa	Léo Bonatini	61.121800000000064
Gabriel Barbosa	Yuri Mamute	64.80365
Gabriel Barbosa	Marcus Vinicius	65.07620000000001
Gabriel Barbosa	Matheus Saldanha	65.61510000000007
Gabriel Barbosa	Marcos Leonardo	66.89480000000013
Gabriel Barbosa	D. Bessa	66.97425
Gabriel Barbosa	Tiquinho Soares	68.63410000000007
Gabriel Barbosa	Hamilton	68.68335000000003
Gabriel Barbosa	Róger Guedes	68.82580000000004
Gabriel Barbosa	Arthur Cabral	70.02360000000002
Gabriel Barbosa	Douglas Tanque	70.06085000000012
Gabriel Barbosa	V. Matos	71.13990000000003
Gabriel Barbosa	Luiz Adriano	72.0083
Gabriel Barbosa	Thiago Galhardo	72.96945000000005
Gabriel Barbosa	Alef Manga	73.48090000000002
Gabriel Barbosa	Felipe Vizeu	73.79945000000001
Gabriel Barbosa	Derek	74.30130000000005
Gabriel Barbosa	Flamarion	74.521
Gabriel Barbosa	Waguininho	75.2723
Gabriel Barbosa	Jhon Cley	75.29570000000007
Gabriel Barbosa	Bruno Lamas	75.63495000000002
Gabriel Barbosa	Everaldo	76.38760000000008
Gabriel Barbosa	Jonathan Junior	76.69590000000001
Gabriel Barbosa	Thuram	77.71850000000003
Gabriel Barbosa	Welthon	77.93780000000004
Gabriel Barbosa	Rodrigo	78.20085000000003
Gabriel Barbosa	Mosquito	79.03830000000004
Gabriel Barbosa	João Pedro	80.09100000000004
Gabriel Barbosa	Pedro Raul	80.70650000000009
Gabriel Barbosa	Rodrigo Da Costa	81.07605000000007
Gabriel Barbosa	Rafaelson	81.2143000000001
Gabriel Barbosa	Stefan	81.26785000000011
Gabriel Barbosa	Samuel Rosa	81.3265000000001
Gabriel Barbosa	Cesinha	82.09865000000002
Gabriel Barbosa	Rodrygo	83.34919999999997
Gabriel Barbosa	Bruno Rodrigues	83.70330000000007
Gabriel Barbosa	Vinicius Mingotti	83.71605000000008
Gabriel Barbosa	Luciano	85.19564999999999
Gabriel Barbosa	Tauã	85.3225000000001
Gabriel Barbosa	Zé Roberto	86.04129999999999
Gabriel Barbosa	Diego Lopes	86.10929999999998
Gabriel Barbosa	Felipe Garcia	86.51565000000008
Gabriel Barbosa	Rafael Silva	86.77705000000009
Gabriel Barbosa	Lucao do Break	86.96935000000005
Gabriel Barbosa	Michel	87.36445000000003
Gabriel Barbosa	Pedro Henrique	88.53615000000002
Gabriel Barbosa	Evander	88.71169999999996
Gabriel Barbosa	Davidson	88.71825000000001
Gabriel Barbosa	Igor Thiago	89.46085000000008
Gabriel Barbosa	Jairo	89.94050000000013
Gabriel Barbosa	Cauê	90.16055000000007
Gabriel Barbosa	Wendel	91.37665000000004
Gabriel Barbosa	Erikys	91.86105000000003
Gabriel Barbosa	Diogo	91.98215000000003
Gabriel Barbosa	Caio Dantas	92.25080000000001
Gabriel Barbosa	Juninho	92.40750000000003
Gabriel Barbosa	Vitor Bueno	93.2941
