Jogador Referência	Jogador Comparado	Resultado
Gabriel Barbosa	Willen Mota	0.9998114509049834
Gabriel Barbosa	Gustavo Coutinho	0.9993820881376309
Gabriel Barbosa	Diego Maurício	0.9991787068068196
Gabriel Barbosa	Vitor Roque	0.9990567253042086
Gabriel Barbosa	Renan Oliveira	0.9989206247062558
Gabriel Barbosa	John Kennedy	0.9988764033888334
Gabriel Barbosa	Eduardo Sasha	0.9987243821300547
Gabriel Barbosa	Everaldo	0.9986898142390067
Gabriel Barbosa	Erick	0.9986836442835038
Gabriel Barbosa	Brenner	0.9986304885533226
Gabriel Barbosa	Pablo	0.998566858519303
Gabriel Barbosa	Diego Oliveira	0.9985254439686312
Gabriel Barbosa	Douglas Tanque	0.9984792737048727
Gabriel Barbosa	Ricardinho	0.9983907910524751
Gabriel Barbosa	Sassá	0.998255664750962
Gabriel Barbosa	Matheus Saldanha	0.9981211971559477
Gabriel Barbosa	William Lira	0.9980364790324485
Gabriel Barbosa	Andre Clóvis	0.9978798942822474
Gabriel Barbosa	Juninho	0.9978630066894059
Gabriel Barbosa	Yuri Alberto	0.9977183042001356
Gabriel Barbosa	Marcos Leonardo	0.9975716279121781
Gabriel Barbosa	João Pedro	0.9975067650668572
Gabriel Barbosa	Jairo	0.9974625130479925
Gabriel Barbosa	Olavio	0.9974581236092762
Gabriel Barbosa	Romarinho	0.9973584295198745
Gabriel Barbosa	Jefferson	0.997335413482447
Gabriel Barbosa	Anselmo Ramon	0.9973287983588107
Gabriel Barbosa	Caio Lucas	0.997307561875577
Gabriel Barbosa	Luiz Fernando	0.9972931946606178
Gabriel Barbosa	Thiago Bezerra	0.997208200254247
Gabriel Barbosa	Arthur Cabral	0.9971984952633088
Gabriel Barbosa	Nilson	0.9970731456546565
Gabriel Barbosa	Thiago Santana	0.9970500138169184
Gabriel Barbosa	M. Brunori	0.9970303234274416
Gabriel Barbosa	Pedro Raul	0.9969876840955342
Gabriel Barbosa	Rodrigo Rodrigues	0.9969515598417756
Gabriel Barbosa	Nick Firmino	0.9968792681522993
Gabriel Barbosa	Léo Gamalho	0.9966808891118752
Gabriel Barbosa	Ytalo	0.9965240491540514
Gabriel Barbosa	Alan Patrick	0.9965054904276023
Gabriel Barbosa	Willian José	0.9964534706861586
Gabriel Barbosa	Felipe	0.9964444105782888
Gabriel Barbosa	Felipe Augusto	0.9963875224784166
