Jogador Referência	Jogador Comparado	Resultado
Gabriel Barbosa	Tiago Alves	1.5172486549214053
Gabriel Barbosa	Matheus Cadorini	1.4650096770907608
Gabriel Barbosa	Tiago Reis	1.4224112352882998
Gabriel Barbosa	Marcos André	1.4173647383463093
Gabriel Barbosa	Lucas Gaúcho	1.4162481536189067
Gabriel Barbosa	Lucão	1.4161087042142575
Gabriel Barbosa	Élton	1.3936046511627909
Gabriel Barbosa	Ramon Lopes	1.3769267592149352
Gabriel Barbosa	Daniel Bahia	1.3663309899296978
Gabriel Barbosa	Felipe	1.3658119658119656
Gabriel Barbosa	Perotti	1.358843537414966
Gabriel Barbosa	João Leonardo	1.3585868127715848
Gabriel Barbosa	Júnior Dutra	1.3580736543909349
Gabriel Barbosa	Júnior Pirambu	1.3578172205438066
Gabriel Barbosa	Bruno Lopes	1.3539823008849556
Gabriel Barbosa	Edu	1.3534726143421796
Gabriel Barbosa	Leandro Damião	1.350042241622078
Gabriel Barbosa	Samuel	1.349915524685564
Gabriel Barbosa	João Carlos	1.349535516561884
Gabriel Barbosa	Lecão	1.3494088947269658
Gabriel Barbosa	Guilherme Dellatorre	1.3432333987111236
Gabriel Barbosa	Marcelo Ryan	1.3357481192532739
Gabriel Barbosa	Anderson Silva	1.3306809770540342
Gabriel Barbosa	Léo Bahia	1.330557868442964
Gabriel Barbosa	Rodolfo	1.32969674556213
Gabriel Barbosa	Matheus Aias	1.3213891951488423
Gabriel Barbosa	Rafael Elias	1.3173948887056885
Gabriel Barbosa	Elias Manoel	1.3158279963403474
Gabriel Barbosa	Saulo Mineiro	1.3158279963403474
Gabriel Barbosa	Gabriel Santos	1.3141447368421053
Gabriel Barbosa	Diego Souza	1.3134246575342465
Gabriel Barbosa	Erison	1.3123460169723515
Gabriel Barbosa	Popó	1.306860517946388
Gabriel Barbosa	Rômulo	1.3057926275649174
Gabriel Barbosa	Fabrício	1.3042531966990116
Gabriel Barbosa	Vinícius Araújo	1.3034257748776508
Gabriel Barbosa	Jô	1.302599402228059
Gabriel Barbosa	Vinícius Tanque	1.295092300765421
Gabriel Barbosa	Gabriel Poveda	1.2898654708520179
Gabriel Barbosa	Zé Vitor	1.2875559534467325
Gabriel Barbosa	Lucas Ribamar	1.2874406946558052
Gabriel Barbosa	Bruno Duarte	1.2862892406761468
Gabriel Barbosa	Bernardo	1.285254691689008
Gabriel Barbosa	Mateusão	1.2834195966446547
Gabriel Barbosa	Léo Passos	1.2813613684960798
Gabriel Barbosa	Bissoli	1.2763578274760383
Gabriel Barbosa	D. Vinicius	1.2747739762453465
Gabriel Barbosa	Diego Costa	1.272405556047067
Gabriel Barbosa	Douglas Coutinho	1.269933774834437
Gabriel Barbosa	Kayke	1.269933774834437
Gabriel Barbosa	William Henrique	1.2688134097926775
Gabriel Barbosa	Matheus Alves	1.2687014820042344
Gabriel Barbosa	Jô	1.268701482004234
Gabriel Barbosa	Kelvin	1.2669133192389006
Gabriel Barbosa	Douglas Vieira	1.265798274951593
Gabriel Barbosa	Alemão	1.2633520730850316
Gabriel Barbosa	França	1.2626865671641792
Gabriel Barbosa	Hygor	1.2623540770648645
Gabriel Barbosa	Rodrigo Pimpão	1.2614682922550653
Gabriel Barbosa	Marcelo Moreno	1.2599211563731931
Gabriel Barbosa	Wilkson	1.2597004467022859
Gabriel Barbosa	Adriano Michael Jackson	1.2565088240433337
Gabriel Barbosa	Felipe Amorim	1.2543171114599685
Gabriel Barbosa	Guilherme Beléa	1.2542077265195781
Gabriel Barbosa	Henrique Almeida	1.2521330315166288
Gabriel Barbosa	Felype Hebert	1.251043841336117
Gabriel Barbosa	Raúl Asencio	1.2507174536916252
Gabriel Barbosa	Ricardinho	1.2503912363067293
Gabriel Barbosa	Fábio Gomes	1.2470302609902018
Gabriel Barbosa	Patric	1.2467059639389737
Gabriel Barbosa	Leonardo Rocha	1.2461658435144267
Gabriel Barbosa	Renato Júnior	1.2451948051948052
Gabriel Barbosa	Cristiano	1.2451948051948052
Gabriel Barbosa	Lucão	1.2447637181928337
Gabriel Barbosa	Sergio Santos	1.2421834513732941
Gabriel Barbosa	Rivaldinho	1.2397207137315749
Gabriel Barbosa	Welinton Júnior	1.2386530014641288
Gabriel Barbosa	Chrigor	1.238226431338786
Gabriel Barbosa	Adler	1.2346124130826681
