Jogador Referência	Jogador Comparado	Resultado
Leandro Damião	Fabrício	6.773399999999997
Leandro Damião	Daniel Bahia	7.892450000000013
Leandro Damião	Felipe Amorim	8.531450000000012
Leandro Damião	Léo Passos	10.394149999999993
Leandro Damião	Léo Bahia	12.36169999999997
Leandro Damião	Lucas Gaúcho	12.381800000000016
Leandro Damião	Matheus Alves	13.114049999999994
Leandro Damião	França	13.725349999999993
Leandro Damião	Felipe	14.058449999999985
Leandro Damião	William Henrique	14.55779999999998
Leandro Damião	Mateusão	16.66535000000002
Leandro Damião	Guilherme Beléa	18.275299999999962
Leandro Damião	Cristiano	18.62905000000001
Leandro Damião	D. Vinicius	18.790049999999958
Leandro Damião	Douglas Coutinho	19.384099999999982
Leandro Damião	Nicolas	19.430899999999998
Leandro Damião	Gustavo	20.00374999999999
Leandro Damião	Chrigor	20.3021
Leandro Damião	Wellington Tanque	20.651449999999997
Leandro Damião	Vinícius Araújo	21.088949999999986
Leandro Damião	Hygor	21.223599999999983
Leandro Damião	Rodolfo	21.46925000000003
Leandro Damião	Lucão	21.54105000000004
Leandro Damião	Adailton	21.87469999999999
Leandro Damião	Adler	22.116899999999983
Leandro Damião	Fernando Karanga	24.95285000000001
Leandro Damião	Valdeci	25.423749999999956
Leandro Damião	Juninho Rocha	25.51809999999995
Leandro Damião	Matheus Aias	25.586450000000035
Leandro Damião	Gabriel Santos	25.643250000000016
Leandro Damião	Thiago Henrique	27.1494
Leandro Damião	Jô	27.403050000000025
Leandro Damião	Lucão	28.500249999999976
Leandro Damião	Marcos André	29.20190000000002
Leandro Damião	Alvaro de Oliveira	30.730049999999984
Leandro Damião	Rodrigo Pimpão	31.642299999999974
Leandro Damião	Rafael Elias	31.843700000000002
Leandro Damião	Sergio Santos	34.18885000000005
Leandro Damião	Ramon Lopes	34.79310000000001
Leandro Damião	Thonny Anderson	35.44304999999997
Leandro Damião	Osman	35.68649999999995
Leandro Damião	Cassiano	35.77854999999999
Leandro Damião	Jael	36.288700000000006
