Jogador Referência	Jogador Comparado	Resultado
Leandro Damião	Matheuzinho	0.9998765167213213
Leandro Damião	Zé Paulo	0.9998356900856366
Leandro Damião	Brenner	0.9997999704717959
Leandro Damião	Brandão	0.9997504370062729
Leandro Damião	Gerson Magrão	0.9997371755026007
Leandro Damião	Anderson Ceará	0.9997234396442488
Leandro Damião	Giovanni Augusto	0.9997204651922932
Leandro Damião	Thomás	0.9996623193679471
Leandro Damião	Hyuri	0.99956280668329
Leandro Damião	Matheus Vargas	0.9995500764862816
Leandro Damião	D. Vinicius	0.9995159381080517
Leandro Damião	Thiago Henrique	0.9995033245355512
Leandro Damião	Sebá	0.9994481009644598
Leandro Damião	Itaitinga	0.9994217637105601
Leandro Damião	Guilherme Beléa	0.9993969554517927
Leandro Damião	Fernando Karanga	0.9993960720673042
Leandro Damião	Evandro	0.9992994664928914
Leandro Damião	Marco Antônio	0.9992987030444188
Leandro Damião	Miguel Bianconi	0.9992852729534693
Leandro Damião	Paulinho	0.9992667355674988
Leandro Damião	Diego Jardel	0.9992629441571845
Leandro Damião	Lucas Moura	0.9992380793070044
Leandro Damião	Mychell Chagas	0.9991240687189634
Leandro Damião	Juninho Rocha	0.9991170055492128
Leandro Damião	Rodrigo Dias	0.9991027137896937
Leandro Damião	Fabrício Daniel	0.9990747514706632
Leandro Damião	Nikão	0.9990703252396028
Leandro Damião	Mirandinha	0.9990566602287329
Leandro Damião	Vander	0.9990342261923166
Leandro Damião	Douglas Coutinho	0.998974116211882
Leandro Damião	Nicolas	0.9989719485712671
Leandro Damião	Felipe Amorim	0.998959224484264
Leandro Damião	Lucão	0.9989534688334689
Leandro Damião	Philippe Coutinho	0.9989350883411491
Leandro Damião	Figueiredo	0.9989337681129471
Leandro Damião	Iury Castilho	0.9989307683964223
Leandro Damião	Richard	0.9989249999473344
Leandro Damião	Matheus França	0.9989211237195882
Leandro Damião	Davi Araújo	0.9989109330062748
Leandro Damião	W. Priori	0.9989098367522935
Leandro Damião	P. Monteiro	0.9988852484921019
Leandro Damião	Fabrício	0.9988234051006876
Leandro Damião	Mateusão	0.9987941615983531
Leandro Damião	Felipe Ferreira	0.9987885233168212
Leandro Damião	Rodrigo Henrique	0.9987469694044003
Leandro Damião	Neílton	0.9987468023004995
Leandro Damião	Lucas Lourenço	0.9987116005296578
Leandro Damião	Daniel Bahia	0.9987065268194587
Leandro Damião	Luiz Henrique	0.9986948714248093
Leandro Damião	Neto	0.998641356104125
Leandro Damião	Derik Lacerda	0.9986278417201434
Leandro Damião	Yann Rolim	0.9985641884944092
Leandro Damião	Ivonei	0.9985635862135449
Leandro Damião	Lucão	0.9985256291779357
Leandro Damião	Jean Moser	0.9984506913854346
Leandro Damião	Leandro Ribeiro	0.9983467903818232
Leandro Damião	Valdeci	0.9983405226782598
Leandro Damião	Jean Patrick	0.9983318899429227
Leandro Damião	Carlos Eduardo	0.9983199973366779
Leandro Damião	Careca	0.9983040367995143
Leandro Damião	Gabriel Veron	0.9982927588219359
Leandro Damião	Léo Passos	0.998266776121289
Leandro Damião	Victor Andrade	0.9982374029459398
Leandro Damião	Marcinho	0.9982343660378419
Leandro Damião	Léo Bahia	0.9982239696882417
Leandro Damião	Renatinho	0.9981868874927258
Leandro Damião	Gustavo Scarpa	0.9981846019281112
Leandro Damião	Vitinho	0.9981645168994003
Leandro Damião	J. von Moos	0.998153579775047
Leandro Damião	Madison	0.9981531055958244
Leandro Damião	Lucca	0.9981413151231783
Leandro Damião	Luan Dias	0.9981333498370341
Leandro Damião	Marcos Júnior	0.9981309803537824
Leandro Damião	Felipe Rodrigues	0.9981281446969588
Leandro Damião	Felipe	0.9981268046037896
Leandro Damião	William Henrique	0.9981130962784773
Leandro Damião	Rodrigo Pimpão	0.9980933503648395
Leandro Damião	Cristiano	0.9980653873302564
Leandro Damião	Matheus Cassini	0.9980211156199944
Leandro Damião	Éderson	0.9980082051514697
Leandro Damião	Alan	0.9979861282833299
Leandro Damião	Paulinho	0.9979699680543798
Leandro Damião	Osman	0.9979677736936056
Leandro Damião	Igor Jesus	0.9979499327220779
Leandro Damião	Dodô	0.9979008132980786
Leandro Damião	Diogo de Oliveira	0.9978957369806922
Leandro Damião	Dé	0.997845110280741
Leandro Damião	Rivaldinho	0.9978414909637067
Leandro Damião	Vinícius Araújo	0.9978359564016197
Leandro Damião	Matheus Alves	0.9978065245628316
Leandro Damião	Bruno Henrique	0.9978013385309544
Leandro Damião	Jenison	0.9977830794012701
Leandro Damião	Patrick Luan	0.9977805126768025
Leandro Damião	Lucas Gaúcho	0.9977616902122185
Leandro Damião	Fernando Viana	0.9977603659883919
Leandro Damião	França	0.9977512858864879
Leandro Damião	Bruno Baio	0.9976925001382483
Leandro Damião	Breno Lopes	0.9976730002815591
Leandro Damião	Jô	0.997668302421312
Leandro Damião	Wellington Tanque	0.9976632529346252
Leandro Damião	Juan	0.9976484571367121
Leandro Damião	Ademir	0.9976456313553634
Leandro Damião	Garcez	0.9976414459033202
Leandro Damião	Léo Baptistão	0.997605134700615
Leandro Damião	Gustavo	0.9975596085961482
Leandro Damião	Jája Silva	0.9975214179416723
Leandro Damião	Thonny Anderson	0.9974986279928706
Leandro Damião	Matheus Lucas	0.9974826454829743
Leandro Damião	Stenio Junior	0.9974794784486144
Leandro Damião	Ryder Matos	0.9974159232105339
Leandro Damião	Welinton Júnior	0.9973744493658155
Leandro Damião	Lucas de Vega	0.9973033745930112
Leandro Damião	L. Lima	0.9972823629903448
Leandro Damião	Andre Shinyashiki	0.9972804874259903
Leandro Damião	Alvaro de Oliveira	0.9972694169958972
Leandro Damião	Allef	0.9972458588789851
Leandro Damião	Matheus Cunha	0.997237841659872
Leandro Damião	Jonathan Balotelli	0.9972283435496418
Leandro Damião	Raúl Asencio	0.9972063053440405
Leandro Damião	Ricardo Bueno	0.9971384034745374
Leandro Damião	Yago Cariello	0.9971310400847208
Leandro Damião	Jael	0.9970712198531281
Leandro Damião	Gabriel	0.9970535664130776
Leandro Damião	Alisson Safira	0.9969524999822645
Leandro Damião	Iago Dias	0.9969295512766185
Leandro Damião	Jonathas	0.9969214357075752
Leandro Damião	Felipe Azevedo	0.996907211261228
Leandro Damião	Hygor	0.9968904012699821
Leandro Damião	Igor Henrique	0.9968763951077589
Leandro Damião	Alex Teixeira	0.9967452922747662
Leandro Damião	Ai Kesen	0.9967442018419284
Leandro Damião	Adler	0.9967402362054134
Leandro Damião	Bruno	0.9967216860581317
Leandro Damião	Marquinhos Gabriel	0.9967204591784333
Leandro Damião	Sergio Santos	0.9966994996640874
Leandro Damião	Daniel dos Anjos	0.9966974407441203
Leandro Damião	Maxuell	0.9965818326360532
Leandro Damião	Guilherme	0.9965617278565865
Leandro Damião	Rodolfo	0.996509802463217
Leandro Damião	Kenedy	0.9965076721297217
Leandro Damião	Élder Santana	0.996506030651788
Leandro Damião	Talles Magno	0.9964899024853479
Leandro Damião	Adailton	0.9964639570617543
Leandro Damião	Chrigor	0.9964477692358981
Leandro Damião	Lucas Silva	0.9964339366596134
