Jogador Referência	Jogador Comparado	Resultado
Leandro Damião	Tiago Alves	1.1238527270809158
Leandro Damião	Matheus Cadorini	1.0851583986961393
Leandro Damião	Tiago Reis	1.0536049846701612
Leandro Damião	Marcos André	1.049866955750468
Leandro Damião	Lucas Gaúcho	1.04903988183161
Leandro Damião	Lucão	1.0489365892083498
Leandro Damião	Élton	1.0322674418604654
Leandro Damião	Ramon Lopes	1.0199138343705123
Leandro Damião	Daniel Bahia	1.0120653619608588
Leandro Damião	Felipe	1.0116809116809116
Leandro Damião	Perotti	1.0065192743764173
Leandro Damião	João Leonardo	1.0063291139240504
Leandro Damião	Júnior Dutra	1.0059490084985836
Leandro Damião	Júnior Pirambu	1.0057590634441087
Leandro Damião	Bruno Lopes	1.0029184710977217
Leandro Damião	Edu	1.002540937323546
Leandro Damião	Samuel	0.9999061385395157
Leandro Damião	João Carlos	0.9996246598479873
Leandro Damião	Lecão	0.9995308688309252
Leandro Damião	Guilherme Dellatorre	0.9949565704679183
Leandro Damião	Marcelo Ryan	0.989412092504876
Leandro Damião	Anderson Silva	0.9856587712805331
Leandro Damião	Léo Bahia	0.9855675825700805
Leandro Damião	Rodolfo	0.9849297337278107
Leandro Damião	Matheus Aias	0.9787761852260198
Leandro Damião	Rafael Elias	0.9758175322890906
Leandro Damião	Elias Manoel	0.9746569075937785
Leandro Damião	Saulo Mineiro	0.9746569075937785
Leandro Damião	Gabriel Santos	0.9734100877192984
Leandro Damião	Diego Souza	0.9728767123287673
Leandro Damião	Erison	0.9720777443197373
Leandro Damião	Popó	0.9680145388459791
Leandro Damião	Rômulo	0.9672235336844017
Leandro Damião	Fabrício	0.9660832502040447
Leandro Damião	Vinícius Araújo	0.9654703643284394
Leandro Damião	Jô	0.9648582555927905
Leandro Damião	Vinícius Tanque	0.9592976136875282
Leandro Damião	Gabriel Poveda	0.9554260089686099
Leandro Damião	Zé Vitor	0.9537153088630261
Leandro Damião	Lucas Ribamar	0.9536299346522246
Leandro Damião	Bruno Duarte	0.9527770324657902
Leandro Damião	Bernardo	0.9520107238605899
Leandro Damião	Mateusão	0.9506514367303232
Leandro Damião	Léo Passos	0.9491268709907341
Leandro Damião	Bissoli	0.9454206602768903
Leandro Damião	D. Vinicius	0.9442474738521539
Leandro Damião	Diego Costa	0.9424931434132531
Leandro Damião	Douglas Coutinho	0.9406622516556292
Leandro Damião	Kayke	0.9406622516556292
Leandro Damião	William Henrique	0.9398323775915308
Leandro Damião	Matheus Alves	0.9397494707127736
Leandro Damião	Jô	0.9397494707127734
Leandro Damião	Kelvin	0.9384249471458774
Leandro Damião	Douglas Vieira	0.9375990142580531
Leandro Damião	Alemão	0.9357870695713282
Leandro Damião	França	0.9352941176470589
Leandro Damião	Hygor	0.9350478363907664
Leandro Damião	Rodrigo Pimpão	0.9343917200245593
Leandro Damião	Marcelo Moreno	0.9332457293035481
Leandro Damião	Wilkson	0.9330822457738459
Leandro Damião	Adriano Michael Jackson	0.9307181548139087
Leandro Damião	Felipe Amorim	0.9290947148090005
Leandro Damião	Guilherme Beléa	0.9290136914624576
Leandro Damião	Henrique Almeida	0.927476928434616
Leandro Damião	Felype Hebert	0.9266701461377871
Leandro Damião	Raúl Asencio	0.9264283850769632
Leandro Damião	Ricardinho	0.9261867501304122
Leandro Damião	Fábio Gomes	0.923697216682563
Leandro Damião	Patric	0.9234570041608877
Leandro Damião	Leonardo Rocha	0.9230569274759552
Leandro Damião	Renato Júnior	0.9223376623376623
Leandro Damião	Cristiano	0.9223376623376623
Leandro Damião	Lucão	0.9220183486238533
Leandro Damião	Sergio Santos	0.9201070996717914
Leandro Damião	Rivaldinho	0.9182829066459789
Leandro Damião	Welinton Júnior	0.9174920334165877
Leandro Damião	Chrigor	0.9171760654326302
Leandro Damião	Adler	0.9144990986350761
Leandro Damião	Carlos Vinícius	0.9141851883635116
Leandro Damião	Clayton	0.9131664666552375
Leandro Damião	Nicolas	0.911837712916203
Leandro Damião	Gustavo	0.9111358193636675
Leandro Damião	Wellington Tanque	0.9108242134062927
Leandro Damião	Patrick	0.9107463452167224
Leandro Damião	Matheus Nascimento	0.9088039583688791
Leandro Damião	Olavio	0.9082615738767158
Leandro Damião	Thiago Henrique	0.907487860976233
Leandro Damião	Wander	0.9069470458028265
Leandro Damião	Rafael Martins	0.9068698391078573
Leandro Damião	Héber	0.9063297600816744
Leandro Damião	Salatiel	0.905790323952045
Leandro Damião	Jonathas	0.9054823629409264
Leandro Damião	Diego Jardel	0.9054823629409264
Leandro Damião	Rodrigo Pinho	0.9051746112668876
Leandro Damião	J. Fernandes	0.9050208138645824
Leandro Damião	Maxuell	0.9032558928268611
Leandro Damião	Wesley	0.9031027466937944
Leandro Damião	Thiago Alagoano	0.9028731248410882
Leandro Damião	Valdeci	0.9026436197254704
Leandro Damião	Jael	0.8987598076436346
Leandro Damião	Fernando Karanga	0.8983808399392815
Leandro Damião	Adailton	0.8981536126802125
Leandro Damião	Alvaro de Oliveira	0.896113728129206
Leandro Damião	Júnior Brumado	0.8952853180939576
Leandro Damião	Iago Dias	0.8952853180939574
Leandro Damião	Michael Thuique	0.893408252264341
Leandro Damião	Diego Quirino	0.8932584269662923
Leandro Damião	Guilherme Schettine	0.8929589270746019
Leandro Damião	Mikael	0.892510053619303
Leandro Damião	Júnior Brandao	0.8917629331993973
Leandro Damião	Igor Torres	0.8913898418542383
Leandro Damião	Cassiano	0.8910170625627301
Leandro Damião	Gustavo Coutinho	0.890868038133467
Leandro Damião	Patrick Luan	0.8907935446107534
Leandro Damião	Éderson	0.8901980446227123
Leandro Damião	Daniel dos Anjos	0.8881200500208422
Leandro Damião	Jenison	0.8866416978776529
Leandro Damião	Richarlison	0.8858307001496758
Leandro Damião	Tiago	0.8850947158524429
Leandro Damião	Allef	0.8845068083693125
Leandro Damião	Davi Araújo	0.8844333748443338
Leandro Damião	Felippe Cardoso	0.8837730214036834
Leandro Damião	L. Lima	0.8834065842938883
Leandro Damião	André Luis	0.8833333333333334
Leandro Damião	Alan	0.8826014913007457
Leandro Damião	Julio César	0.8824552683896622
Leandro Damião	Stéfano Pinho	0.8823821751014661
Leandro Damião	Evandro	0.8821629678701557
Leandro Damião	Andre Shinyashiki	0.880995699636123
Leandro Damião	Juninho Rocha	0.8807771806531626
Leandro Damião	Arthur Caíke	0.8802677243430838
Leandro Damião	Deyverson	0.8801949929769479
Leandro Damião	Claudinho	0.8801949929769479
Leandro Damião	João Pedro	0.8791780143599901
Leandro Damião	Jonata	0.8786704058066644
Leandro Damião	Osman	0.8784530386740332
Leandro Damião	Nathan Fogaça	0.8782357790601814
Leandro Damião	Rodrigo Dias	0.8779462666886435
Leandro Damião	Ricardo Lopes	0.8772233201581028
Leandro Damião	Yago Cariello	0.8768622931928555
Leandro Damião	Rildo	0.8767901234567901
Leandro Damião	Mateus Lima	0.8765736855097507
Leandro Damião	Edigar Junio	0.8763573543928924
Leandro Damião	João Klauss	0.8760690789473684
Leandro Damião	Conrado	0.8757809930943771
Leandro Damião	Vander	0.875780993094377
Leandro Damião	Wellington Paulista	0.8752053894183371
Leandro Damião	Alan Grafite	0.8752053894183371
Leandro Damião	M. Brunori	0.8748460211874847
Leandro Damião	Thonny Anderson	0.8747741829528658
Leandro Damião	Denílson	0.8745587390197849
Leandro Damião	Sebá	0.8742716454657367
Leandro Damião	Sandro Lima	0.8738413583791322
Leandro Damião	Tharcysio	0.8738413583791322
Leandro Damião	Jonathan Balotelli	0.8734831092161365
Leandro Damião	Matheus Lucas	0.8734831092161364
Leandro Damião	Hyuri	0.8734114946298271
Leandro Damião	Jean Moser	0.8734114946298271
Leandro Damião	Bruno Marques	0.8728390004096682
Leandro Damião	Denner	0.872624508519004
Leandro Damião	Alerrandro	0.8726245085190039
Leandro Damião	Mirandinha	0.8714110429447853
Leandro Damião	Álvaro	0.8714110429447853
Leandro Damião	Adílio Santos	0.871339767708163
Leandro Damião	João Marcos	0.8711972522080471
Leandro Damião	Rony	0.8704142495301903
Leandro Damião	Rafa Silva	0.8699877501020824
Leandro Damião	Francisco da Costa	0.869703649277492
Leandro Damião	P. Monteiro	0.869703649277492
Leandro Damião	Bruno Mendes	0.8694906953966699
Leandro Damião	Wesley da Silva	0.8689942083367322
Leandro Damião	Felipe Augusto	0.8687816016962976
Leandro Damião	Luquinha	0.868427488383468
Leandro Damião	Paulo Sérgio	0.8678615071283096
Leandro Damião	Caion	0.8676494543085195
Leandro Damião	Bruno Mezenga	0.867225659394334
Leandro Damião	Bruno Baio	0.8663088558184923
Leandro Damião	Aloísio	0.8660975609756097
Leandro Damião	Régis	0.8658863691782492
Leandro Damião	Arthur Cabral	0.8653939886271326
Leandro Damião	Robinho	0.8653939886271326
Leandro Damião	Kenedy	0.8651128796491797
Leandro Damião	Matheuzinho	0.8650426309378807
Leandro Damião	A. Becker	0.8650426309378806
Leandro Damião	Figueiredo	0.864972393634297
Leandro Damião	E. Paulista	0.864972393634297
Leandro Damião	Marcão	0.8647617501420571
Leandro Damião	Lukian	0.8643407707910752
Leandro Damião	Rafael Navarro	0.8637100697259609
Leandro Damião	Foguinho	0.862800680327205
Leandro Damião	Lucca	0.8614053529554461
Leandro Damião	Andre Clóvis	0.8609876343651499
Leandro Damião	Dyego Sousa	0.8597369058187394
Leandro Damião	Crislan	0.8595981602517551
Leandro Damião	João Paulo	0.8593208034201824
Leandro Damião	Matheus Babi	0.8589051036039668
Leandro Damião	Derik Lacerda	0.8583514624123761
Leandro Damião	Fabrício Daniel	0.8580057989690721
Leandro Damião	Léo Ceará	0.8577985345035832
Leandro Damião	André Felipe	0.8571083755732561
Leandro Damião	Gilberto	0.8559376506508114
Leandro Damião	Edgar Bruno	0.8558001285347043
Leandro Damião	André Silva	0.8552504816955685
Leandro Damião	Deyvison	0.8552504816955685
Leandro Damião	Richard	0.8529906317559452
Leandro Damião	Camilo Sanvezzo	0.8526492716503923
Leandro Damião	Júnior Todinho	0.8518992403038784
Leandro Damião	Caio Dantas	0.8518311210618903
Leandro Damião	Thiago Andrade	0.8516949152542374
Leandro Damião	Fernando Viana	0.8514906881943889
Leandro Damião	Lohan	0.8514226342710998
Leandro Damião	Jean Patrick	0.8510145390637482
Leandro Damião	Thuram	0.8510145390637482
Leandro Damião	Diogo de Oliveira	0.8505389221556886
Leandro Damião	Cauê	0.8497248145489351
Leandro Damião	Charles	0.8487769898812845
Leandro Damião	Rafael Silva	0.84837142629609
Leandro Damião	Vinicius Mello	0.8481012658227849
Leandro Damião	Gustavo Santos	0.8478987583572111
Leandro Damião	Derley	0.847291815795753
Leandro Damião	Luan Dias	0.8470896946564885
Leandro Damião	Jája Silva	0.8466857415355269
Leandro Damião	Gabriel Ramos	0.8463494081194884
Leandro Damião	João Figueiredo	0.846214949559139
Leandro Damião	Rômulo	0.8459461605653935
Leandro Damião	Diego Farias	0.8452749345393954
Leandro Damião	Matheus Peixoto	0.8449397208121827
Leandro Damião	Vinícius Lopes	0.8449397208121827
Leandro Damião	Philippe Costa	0.8445378151260504
Leandro Damião	Brenner	0.8437351496911136
Leandro Damião	Mosquito	0.842934008545656
Leandro Damião	Gleyson Oliveira	0.8424007591333228
Leandro Damião	Léo Baptistão	0.8422009645031229
Leandro Damião	Jonathan Junior	0.842001264622194
Leandro Damião	Felipe Vizeu	0.8416686418582603
Leandro Damião	Ibson Melo	0.8412698412698413
Leandro Damião	R. Ramires	0.8409377960214713
Leandro Damião	Devid	0.8406060127830823
Leandro Damião	Gustavo Marmentini	0.8400094622299323
Leandro Damião	Neílton	0.8398108001576666
Leandro Damião	Brandão	0.8397446003468391
Leandro Damião	Silvio	0.8385547858942066
Leandro Damião	Léo Bonatini	0.8382908404154864
Leandro Damião	Paulo Victor	0.8382908404154864
Leandro Damião	Nenê	0.8378293354305938
Leandro Damião	Renan Oliveira	0.8377634476250394
Leandro Damião	William Barbio	0.8376317030979714
Leandro Damião	Luiz Phellype	0.8373025229898607
Leandro Damião	Miguel Bianconi	0.8371051390853372
Leandro Damião	Felipe Ferreira	0.8370393651292528
Leandro Damião	Renan Gorne	0.8355949486234215
Leandro Damião	Alisson Safira	0.8352673671005175
Leandro Damião	Derek	0.8350054867534097
Leandro Damião	W. Priori	0.8348091842332106
Leandro Damião	Dé	0.8346783671550576
Leandro Damião	B. Cunha Cantanhede	0.8333724477822109
Leandro Damião	Ryder Matos	0.8329163408913213
Leandro Damião	Patrick	0.8320706084511442
Leandro Damião	Gerson Magrão	0.8318756832734655
Leandro Damião	Leandro Ribeiro	0.8306432748538013
Leandro Damião	Tiago Orobó	0.8300607760635812
Leandro Damião	Matheus Cunha	0.8287047841306885
Leandro Damião	Carlos Eduardo	0.8287047841306885
