Jogador Referência	Jogador Comparado	Resultado
Rodrygo	Gabriel Jesus	79.19839999999999
Rodrygo	Neymar	195.4554000000001
Rodrygo	Richarlison	474.96770000000026
Rodrygo	João Pedro	204.57589999999993
Rodrygo	Matheus Cunha	189.42095000000003
Rodrygo	Malcom	2008.6910500000006
Rodrygo	Roberto Firmino	691.3573000000001
Rodrygo	Pedro	859.4789500000002
Rodrygo	Gabriel Barbosa	246.22615000000002
Rodrygo	Vitor Roque	758.5822000000001
Rodrygo	Yuri Alberto	344.38025000000005
Rodrygo	Marcos Leonardo	239.56420000000008
Rodrygo	Talles Magno	780.6227500000002
Rodrygo	Felipe Anderson	344.8850500000001
Rodrygo	Arthur Cabral	118.13740000000001
Rodrygo	A. Conceição	202.6318499999999
Rodrygo	Rony	317.77665
Rodrygo	Gabriel Veron	269.04085000000003
Rodrygo	Evander	281.38720000000006
Rodrygo	Rodrigo	533.4382
Rodrygo	Róger Guedes	190.44510000000005
Rodrygo	Brenner	492.6481000000001
Rodrygo	Paulinho	59.47355000000005
Rodrygo	Matheus Nascimento	784.3516500000001
Rodrygo	Willian José	993.7463500000001
Rodrygo	João Pedro	325.17859999999996
Rodrygo	João Pedro	662.48035
Rodrygo	Pedro Raul	608.39535
Rodrygo	C. Lucas	223.8114500000001
Rodrygo	Thiago Andrade	5571.011350000001
Rodrygo	Alan Patrick	110.17435
Rodrygo	Danilo	1518.8866500000001
Rodrygo	Matheus França	995.5308000000001
Rodrygo	Lázaro	881.0168500000001
Rodrygo	Rodrigo Muniz	1236.35145
Rodrygo	Carlos Vinícius	244.90394999999998
Rodrygo	M. Brunori	365.25925000000024
Rodrygo	R. Ricardo	122.33175000000001
Rodrygo	Marcão	551.5119500000001
Rodrygo	Rafael Navarro	1340.2503000000002
Rodrygo	Tiquinho Soares	137.17435000000006
Rodrygo	Alerrandro	712.8682500000002
Rodrygo	João Klauss	317.9254000000001
Rodrygo	John Kennedy	284.15105000000005
Rodrygo	Marcos Paulo	51.71549999999999
Rodrygo	Bissoli	381.37199999999996
Rodrygo	Erison	786.41
Rodrygo	Diego Costa	959.3153500000001
Rodrygo	Gabriel Pirani	205.08940000000007
Rodrygo	Vitinho	166.85619999999997
Rodrygo	Cryzan	305.18575000000004
Rodrygo	Rafael Elias	330.0646000000001
Rodrygo	D. Bessa	207.87930000000003
Rodrygo	Alemão	261.1376
Rodrygo	Bernard	649.8885
Rodrygo	Luciano	64.15305000000001
Rodrygo	Bruno Henrique	355.16200000000003
Rodrygo	Kenedy	432.8844
Rodrygo	Marcos André	1226.5900500000002
Rodrygo	Reinier	834.69405
Rodrygo	A. Shinyashiki	214.03334999999996
Rodrygo	Davidson	152.61989999999997
Rodrygo	Wesley	239.18555000000003
Rodrygo	João Figueiredo	257.43230000000005
Rodrygo	Marquinhos	492.22979999999995
Rodrygo	Hulk	211.79175
Rodrygo	Nikão	774.4546999999999
Rodrygo	Boschilia	440.69635
Rodrygo	Igor Jesus	2655.5478000000003
Rodrygo	Pedro Henrique	563.8008
Rodrygo	Rodrigo Pinho	177.87075000000004
Rodrygo	Marrony	1541.6267500000001
Rodrygo	Héber	410.61185000000006
Rodrygo	Alef Manga	180.40574999999993
Rodrygo	André Silva	247.1638
Rodrygo	E. Marcondes	431.2073499999997
Rodrygo	Eduardo Sasha	268.1627500000001
Rodrygo	Sergio Santos	544.2608500000001
Rodrygo	Marcos Guilherme	1390.57605
Rodrygo	Léo Baptistão	258.47825000000006
Rodrygo	Thiago Santana	88.69775000000006
Rodrygo	Mateus	458.7867500000001
Rodrygo	J. von Moos	526.2620000000002
Rodrygo	David	557.6642
Rodrygo	Lincoln	878.1293999999998
Rodrygo	Erik	914.3193500000002
Rodrygo	Perotti	1335.0310000000002
Rodrygo	Diego Lopes	462.36954999999995
Rodrygo	Paulinho	591.43165
Rodrygo	Matheus Vargas	78.879
Rodrygo	Thiago Galhardo	131.16174999999998
Rodrygo	Alex Teixeira	1106.5687500000001
Rodrygo	Eduardo	152.66569999999993
Rodrygo	Mikael	3320.6415500000003
Rodrygo	Matheus Peixoto	3654.9953000000005
Rodrygo	Elias Manoel	979.8011500000001
Rodrygo	Carlos Eduardo	327.7147999999999
Rodrygo	Anderson Silva	318.12635
Rodrygo	Thonny Anderson	187.5567000000001
Rodrygo	Zé Roberto	419.48005000000006
Rodrygo	Júnior Brumado	2367.8154
Rodrygo	Bruno Duarte	443.5652
Rodrygo	Matheus Babi	823.3301499999999
Rodrygo	Gabriel Novaes	761.8480999999999
Rodrygo	Marcos Júnior	749.6584000000001
Rodrygo	Daniel	357.59544999999997
Rodrygo	Vitor Bueno	500.50955000000005
Rodrygo	Francisco da Costa	242.30400000000006
Rodrygo	Moisés	552.2661
Rodrygo	Leandro Damião	1032.2289999999998
Rodrygo	Anderson Lopes	722.6605500000001
Rodrygo	Vinicius Mello	720.41055
Rodrygo	Paulinho	3616.86925
Rodrygo	Raniel	701.6709000000001
Rodrygo	Vina	439.6452
Rodrygo	Luiz Phellype	637.28755
Rodrygo	Camilo Sanvezzo	238.67674999999997
Rodrygo	Gustavo	863.44565
Rodrygo	André Luis	1374.63595
Rodrygo	Douglas Tanque	286.0002500000001
Rodrygo	Arthur Caíke	135.12899999999996
Rodrygo	Jairo	344.8604000000001
Rodrygo	Guilherme	412.75649999999996
Rodrygo	Diogo	3895.2777000000006
Rodrygo	Diego Oliveira	243.43605000000014
Rodrygo	Cléber	3247.7349000000004
Rodrygo	Emerson Deocleciano	606.0666
Rodrygo	Ademilson	180.13129999999998
Rodrygo	Pablo	259.80320000000006
Rodrygo	Paulinho Bóia	831.924
Rodrygo	Cesinha	671.332
Rodrygo	Lucas Barbosa	613.8679
Rodrygo	Robson	296.22269999999986
Rodrygo	Edu	360.58650000000006
Rodrygo	Léo Ceará	171.14175000000006
Rodrygo	Léo Bonatini	195.91005
Rodrygo	Fabinho	386.09790000000004
Rodrygo	Dodô	303.00935000000004
Rodrygo	Luiz Fernando	310.07570000000004
Rodrygo	Dyego Sousa	2307.9693500000003
Rodrygo	Juan	637.2487500000001
Rodrygo	Flamarion	205.08120000000002
Rodrygo	Leonardo	373.93949999999995
Rodrygo	Igor Torres	827.4514499999999
Rodrygo	Deyverson	436.90185000000014
Rodrygo	Gilberto	496.95835
Rodrygo	Fábio Gomes	3587.0066500000003
Rodrygo	Ivonei	419.78099999999995
Rodrygo	Thiago	173.20329999999993
Rodrygo	Rildo	519.4803000000002
Rodrygo	Régis	205.05605000000008
Rodrygo	Léo Jabá	357.13645000000014
Rodrygo	Welinton Júnior	242.62899999999996
Rodrygo	Guilherme Schettine	326.09335000000004
Rodrygo	Luan	341.8501499999999
Rodrygo	Adailton	244.25279999999998
Rodrygo	Bruno	229.63564999999994
Rodrygo	Edigar Junio	1000.4249000000001
Rodrygo	Diego Farias	215.50620000000012
Rodrygo	Gabriel Poveda	690.0894000000001
Rodrygo	Guilherme	808.3862000000001
Rodrygo	Bruno Sávio	276.32605000000007
Rodrygo	Everaldo	239.91775000000004
Rodrygo	Jonathan Junior	461.2126999999999
Rodrygo	Luvannor	186.9312500000001
Rodrygo	J. Tagueu	921.6636
Rodrygo	Ricardinho	391.12175
Rodrygo	Jorginho	387.4904
Rodrygo	Bruno Nazário	65.19100000000006
Rodrygo	Vinícius	2164.6022500000004
Rodrygo	Luan Dias	317.7545000000001
Rodrygo	Leonardo Rocha	848.4376000000001
Rodrygo	Gustavo	150.96104999999994
Rodrygo	Cauê	111.70995000000006
Rodrygo	Rodolfo	4320.307150000001
Rodrygo	Rafa Silva	283.5946
Rodrygo	Ganso	287.8784500000001
Rodrygo	Gabriel Ramos	204.19475000000008
Rodrygo	Iury Castilho	281.52295
Rodrygo	Renan Oliveira	298.37935000000004
Rodrygo	Felipe Pires	1029.31545
