Jogador Referência	Jogador Comparado	Resultado
Rodrygo	Gabriel Jesus	0.9518271859128934
Rodrygo	Neymar	0.9396636985646302
Rodrygo	Richarlison	0.9249957297446026
Rodrygo	João Pedro	0.9607565029970084
Rodrygo	Matheus Cunha	0.9267010457782932
Rodrygo	Malcom	0.9631761510552875
Rodrygo	Roberto Firmino	0.8884216470599371
Rodrygo	Pedro	0.9721294510376646
Rodrygo	Gabriel Barbosa	0.991837448939597
Rodrygo	Vitor Roque	0.9727199527362302
Rodrygo	Yuri Alberto	0.9842345571223259
Rodrygo	Marcos Leonardo	0.986056105433994
Rodrygo	Talles Magno	0.8927293766527495
Rodrygo	Felipe Anderson	0.9302015022979709
Rodrygo	Arthur Cabral	0.9614450374198334
Rodrygo	A. Conceição	0.9896050270729974
Rodrygo	Rony	0.9910742563027941
Rodrygo	Gabriel Veron	0.8494665886820147
Rodrygo	Evander	0.9694623260651357
Rodrygo	Rodrigo	0.9518436588008228
Rodrygo	Róger Guedes	0.9932665274129552
Rodrygo	Brenner	0.8028031821990774
Rodrygo	Paulinho	0.9786233037872324
Rodrygo	Matheus Nascimento	0.8291130847328924
Rodrygo	Willian José	0.8633233787457723
Rodrygo	João Pedro	0.8594292358453933
Rodrygo	João Pedro	0.9725996695573791
Rodrygo	Pedro Raul	0.9840953711744929
Rodrygo	C. Lucas	0.9543895385483913
Rodrygo	Thiago Andrade	0.7690243915619012
Rodrygo	Alan Patrick	0.9844417483477974
Rodrygo	Danilo	0.9423764501760946
Rodrygo	Matheus França	0.9223412378099048
Rodrygo	Lázaro	0.8629399785024694
Rodrygo	Rodrigo Muniz	0.8318107465334154
Rodrygo	Carlos Vinícius	0.8494007888796722
Rodrygo	M. Brunori	0.9849405407142438
Rodrygo	R. Ricardo	0.9621895509537276
Rodrygo	Marcão	0.9403937999018045
Rodrygo	Rafael Navarro	0.8789950817629488
Rodrygo	Tiquinho Soares	0.9847114662931643
Rodrygo	Alerrandro	0.9057846512873656
Rodrygo	João Klauss	0.8826570075695351
Rodrygo	John Kennedy	0.9314907431309714
Rodrygo	Marcos Paulo	0.8714137849990276
Rodrygo	Bissoli	0.8419493233794747
Rodrygo	Erison	0.7848831052335727
Rodrygo	Diego Costa	0.8738646336316384
Rodrygo	Gabriel Pirani	0.8775531046994722
Rodrygo	Vitinho	0.9036762285642508
Rodrygo	Cryzan	0.9912821486423843
Rodrygo	Rafael Elias	0.9219061016791937
Rodrygo	D. Bessa	0.922579066319002
Rodrygo	Alemão	0.9143013119794214
Rodrygo	Bernard	0.9142970802974985
Rodrygo	Luciano	0.9814246503702446
Rodrygo	Bruno Henrique	0.8875295371870743
Rodrygo	Kenedy	0.8347503352140428
Rodrygo	Marcos André	0.8211044363685724
Rodrygo	Reinier	0.8163259306259875
Rodrygo	A. Shinyashiki	0.836527408616722
Rodrygo	Davidson	0.9823184739457959
Rodrygo	Wesley	0.8725662064551459
Rodrygo	João Figueiredo	0.9454525783014092
Rodrygo	Marquinhos	0.9350850934722
Rodrygo	Hulk	0.9860985852942638
Rodrygo	Nikão	0.8335978615183713
Rodrygo	Boschilia	0.8629143892308409
