Jogador Referência	Jogador Comparado	Resultado
Rodrygo	Gabriel Jesus	1.2346043995730076
Rodrygo	Neymar	1.0992382285517217
Rodrygo	Richarlison	1.3867657126769934
Rodrygo	João Pedro	1.1845370042454215
Rodrygo	Matheus Cunha	1.3064562406870714
Rodrygo	Malcom	0.967436250861475
Rodrygo	Roberto Firmino	1.1982249338524158
Rodrygo	Pedro	1.0856817976897721
Rodrygo	Gabriel Barbosa	1.0654083313998532
Rodrygo	Vitor Roque	1.2594777971995463
Rodrygo	Yuri Alberto	1.156391555112124
Rodrygo	Marcos Leonardo	1.1839507669986815
Rodrygo	Talles Magno	1.10228727954407
Rodrygo	Felipe Anderson	1.1889895352639006
Rodrygo	Arthur Cabral	1.3449135178269813
Rodrygo	A. Conceição	1.0970105136142498
Rodrygo	Rony	1.250450011769539
Rodrygo	Gabriel Veron	1.3010277890829376
Rodrygo	Evander	1.1078585017823757
Rodrygo	Rodrigo	1.204710587984188
Rodrygo	Róger Guedes	0.9916436910874276
Rodrygo	Brenner	0.9459826323177163
Rodrygo	Paulinho	1.1019622278510877
Rodrygo	Matheus Nascimento	1.4764699711298856
Rodrygo	Willian José	1.2512180872681595
Rodrygo	João Pedro	1.330892268090615
Rodrygo	João Pedro	1.160495426853755
Rodrygo	Pedro Raul	1.2285663108036566
Rodrygo	C. Lucas	1.1724773282497258
Rodrygo	Thiago Andrade	1.0181562802408939
Rodrygo	Alan Patrick	1.0982467696985054
Rodrygo	Danilo	1.1707331565215984
Rodrygo	Matheus França	1.202518231489989
Rodrygo	Lázaro	1.2703619909502266
Rodrygo	Rodrigo Muniz	2.1366647607405516
Rodrygo	Carlos Vinícius	1.6334065357664478
Rodrygo	M. Brunori	1.2966177945072068
Rodrygo	R. Ricardo	1.1023209165265495
Rodrygo	Marcão	1.4484880158683489
Rodrygo	Rafael Navarro	1.4208983286634163
Rodrygo	Tiquinho Soares	1.1016452070029057
Rodrygo	Alerrandro	1.3337045948224409
Rodrygo	João Klauss	1.341728097305141
Rodrygo	John Kennedy	1.2287710871788597
Rodrygo	Marcos Paulo	1.2936722339674989
Rodrygo	Bissoli	1.5380002923590683
Rodrygo	Erison	1.4806457651040366
Rodrygo	Diego Costa	1.4226293230763172
Rodrygo	Gabriel Pirani	1.3553472491464167
Rodrygo	Vitinho	1.233645891793377
Rodrygo	Cryzan	0.9971292262252549
Rodrygo	Rafael Elias	1.3088182899655194
Rodrygo	D. Bessa	1.1046783655536925
Rodrygo	Alemão	1.3175398838196073
Rodrygo	Bernard	1.198336232339194
Rodrygo	Luciano	1.0233491254229352
Rodrygo	Bruno Henrique	1.2876374589331228
Rodrygo	Kenedy	1.2705705107161283
Rodrygo	Marcos André	1.4843916938333839
Rodrygo	Reinier	1.5004492922781267
Rodrygo	A. Shinyashiki	1.2928527116985993
Rodrygo	Davidson	1.0961239494629607
Rodrygo	Wesley	1.166522783736421
Rodrygo	João Figueiredo	1.1684181699189964
Rodrygo	Marquinhos	1.2278104832862013
Rodrygo	Hulk	1.0586256851499638
Rodrygo	Nikão	1.1503704725913977
Rodrygo	Boschilia	1.4781475399103048
Rodrygo	Igor Jesus	1.1750173483107085
Rodrygo	Pedro Henrique	1.1857008435725462
Rodrygo	Rodrigo Pinho	1.3345948229255313
Rodrygo	Marrony	1.1629113588537596
Rodrygo	Héber	1.5332088311651566
Rodrygo	Alef Manga	1.1388554644191413
Rodrygo	André Silva	1.2884580402078762
Rodrygo	E. Marcondes	1.4684214092140924
Rodrygo	Eduardo Sasha	1.1331229564848246
Rodrygo	Sergio Santos	1.3547152734632344
Rodrygo	Marcos Guilherme	1.1409573684055374
Rodrygo	Léo Baptistão	1.515074621649016
Rodrygo	Thiago Santana	1.183029232539404
Rodrygo	Mateus	1.1555961952696798
Rodrygo	J. von Moos	1.1829349628373107
Rodrygo	David	1.1753741865509761
Rodrygo	Lincoln	1.6395772815298966
Rodrygo	Erik	1.089958994340475
Rodrygo	Perotti	1.2957759446342294
Rodrygo	Diego Lopes	1.1153956600544066
Rodrygo	Paulinho	1.111314499249857
Rodrygo	Matheus Vargas	1.4050786365345473
Rodrygo	Thiago Galhardo	1.1650467171160637
Rodrygo	Alex Teixeira	0.9940970342986617
Rodrygo	Eduardo	1.16602825509205
Rodrygo	Mikael	1.4492706137863893
Rodrygo	Matheus Peixoto	1.315344215893685
Rodrygo	Elias Manoel	1.3780910864296128
Rodrygo	Carlos Eduardo	1.4539937718277849
Rodrygo	Anderson Silva	1.4476946588543969
Rodrygo	Thonny Anderson	1.3931891928027442
Rodrygo	Zé Roberto	1.3057982190839972
Rodrygo	Júnior Brumado	1.1657610829569183
Rodrygo	Bruno Duarte	1.2700969717710653
Rodrygo	Matheus Babi	1.7844769385301915
Rodrygo	Gabriel Novaes	1.2557882172986004
Rodrygo	Marcos Júnior	1.2034610353121997
Rodrygo	Daniel	1.151568444094957
Rodrygo	Vitor Bueno	1.067471567122867
Rodrygo	Francisco da Costa	1.4235842909763492
Rodrygo	Moisés	1.1827425959557156
Rodrygo	Leandro Damião	1.7773737652058252
Rodrygo	Anderson Lopes	1.1509679242016633
Rodrygo	Vinicius Mello	1.4273643753918461
Rodrygo	Paulinho	1.2654636707373752
Rodrygo	Raniel	1.1760310802671778
Rodrygo	Vina	1.098591906248733
Rodrygo	Luiz Phellype	1.1899543539441513
Rodrygo	Camilo Sanvezzo	1.2314450028919832
Rodrygo	Gustavo	1.4105451000350135
Rodrygo	André Luis	1.2555525174888373
Rodrygo	Douglas Tanque	1.3109240139597058
Rodrygo	Arthur Caíke	1.4769851210473737
Rodrygo	Jairo	1.2281625302735473
Rodrygo	Guilherme	1.2520044641206698
Rodrygo	Diogo	1.3644839690965684
Rodrygo	Diego Oliveira	1.2149891584392638
Rodrygo	Cléber	1.2544842491291963
Rodrygo	Emerson Deocleciano	1.0166881350812034
Rodrygo	Ademilson	1.1613411049348388
Rodrygo	Pablo	1.1443392590324235
Rodrygo	Paulinho Bóia	1.3374822585621726
Rodrygo	Cesinha	1.0686526453638585
Rodrygo	Lucas Barbosa	1.5279062357247193
Rodrygo	Robson	1.3603902054466077
