Jogador Referência	Jogador Comparado	Resultado
Rodrygo	Gabriel Jesus	0.9977765639820998
Rodrygo	Neymar	0.9973200775925392
Rodrygo	Richarlison	0.9972848012996757
Rodrygo	João Pedro	0.9985628974589379
Rodrygo	Matheus Cunha	0.9971844222120919
Rodrygo	Malcom	0.9982788849412476
Rodrygo	Roberto Firmino	0.9952369822150802
Rodrygo	Pedro	0.9998338264819803
Rodrygo	Gabriel Barbosa	0.9999448795702331
Rodrygo	Vitor Roque	0.9998556804556127
Rodrygo	Yuri Alberto	0.9997899913874894
Rodrygo	Marcos Leonardo	0.9999007213888651
Rodrygo	Talles Magno	0.9958579440587699
Rodrygo	Felipe Anderson	0.9996702484479184
Rodrygo	Arthur Cabral	0.9988387716336258
Rodrygo	A. Conceição	0.9986196838594243
Rodrygo	Rony	0.9998864259337514
Rodrygo	Gabriel Veron	0.920010228476624
Rodrygo	Evander	0.9992621136328455
Rodrygo	Rodrigo	0.9972243646453025
Rodrygo	Róger Guedes	0.9999309255848444
Rodrygo	Brenner	0.9565042043879664
Rodrygo	Paulinho	0.9998785437660592
Rodrygo	Matheus Nascimento	0.9731447558691707
Rodrygo	Willian José	0.9932584765284072
Rodrygo	João Pedro	0.9922443703447447
Rodrygo	João Pedro	0.9988679703046739
Rodrygo	Pedro Raul	0.9998006023771664
Rodrygo	C. Lucas	0.9994067927764133
Rodrygo	Thiago Andrade	0.9071776604869789
Rodrygo	Alan Patrick	0.999921973680273
Rodrygo	Danilo	0.995878181950377
Rodrygo	Matheus França	0.9943502270048553
Rodrygo	Lázaro	0.9594510155357103
Rodrygo	Rodrigo Muniz	0.9488256171835376
Rodrygo	Carlos Vinícius	0.9922837599870992
Rodrygo	M. Brunori	0.9996882968606842
Rodrygo	R. Ricardo	0.9995331183383546
Rodrygo	Marcão	0.9944893116092277
Rodrygo	Rafael Navarro	0.9814919940192339
Rodrygo	Tiquinho Soares	0.9999080681649918
Rodrygo	Alerrandro	0.9926127848809168
Rodrygo	João Klauss	0.9839210028117169
Rodrygo	John Kennedy	0.9981328099976955
Rodrygo	Marcos Paulo	0.9937096170272227
Rodrygo	Bissoli	0.9864721608279282
Rodrygo	Erison	0.9851509646781209
Rodrygo	Diego Costa	0.994242688988599
Rodrygo	Gabriel Pirani	0.9939069877498004
Rodrygo	Vitinho	0.9960727784248928
Rodrygo	Cryzan	0.9993404925390128
Rodrygo	Rafael Elias	0.995088423101396
Rodrygo	D. Bessa	0.9986231999967574
Rodrygo	Alemão	0.997708830960287
Rodrygo	Bernard	0.999427383161251
Rodrygo	Luciano	0.9999246252986191
Rodrygo	Bruno Henrique	0.9926962370499539
Rodrygo	Kenedy	0.956952195469539
Rodrygo	Marcos André	0.9303745772804862
Rodrygo	Reinier	0.8484502331170418
Rodrygo	A. Shinyashiki	0.955708445624119
Rodrygo	Davidson	0.9996716391718885
Rodrygo	Wesley	0.9956161586148095
Rodrygo	João Figueiredo	0.9995199169146609
Rodrygo	Marquinhos	0.9982865163220928
Rodrygo	Hulk	0.9999360772867756
Rodrygo	Nikão	0.9670242962270937
